SELL.price,SELL.btc,SELL.volume.USD
7730.52,6.415135,49592.3294202
7730.02,0.095959,741.76498918
7730.01,0.82458,6374.0116458
7730,0.815766,6305.87118
7729,0.692401,5351.567329
7725.01,0.022,169.95022
7725,0.146474,1131.51165
7724.99,0.001976,15.26458024
7724.98,0.043942,339.45107116
7723.99,0.00064737,5.0002794063
7721,0.821092,6339.651332
7720.11,1.132427,8742.46100697
7720.1,1.777671,13723.7978871
7720.03,0.5,3860.015
7720.02,0.019807,152.91043614
7720.01,0.808256,6239.74440256
7720,4.192218,32363.92296
7719.02,0.534136,4123.00646672
7719,0.000309,2.385171
7718.3,1.9423,14991.25409
7718.16,7.9971793,61723.509386088
7717.49,1,7717.49
7715.33,0.003143,24.24928219
7715.15,0.02,154.303
7715.01,1,7715.01
7715,0.84286,6502.6649
7714.8,0.0050595,39.0330306
7714.79,0.97932382,7555.2776132978
7714.1,0.5,3857.05
7713.98,21.71357621,167498.092612416
7713.97,4.3648217,33670.103649149
7713.95,0.25191297,1943.2440549315
7713.59,0.9297,7171.324623
7713.24,0.02,154.2648
7713.1,0.8708,6716.56748
7713.05,1.29582,9994.724451
7713.03,0.963361,7430.43229383
7713,3.5,26995.5
7713,0.692209,5339.008017
7712.99,1,7712.99
7712.99,0.014929,115.14722771
7712.74,0.02,154.2548
7712.72,2.016,15548.84352
7712.7,0.0115,88.69605
7711.89,1.16675017,8997.8489685213
7711.13,0.8504,6557.544952
7711,0.001,7.711
7710.75,0.014058,108.3977235
7710.01,0.185323,1428.84218323
7710,0.491,3785.61
7710,1.931611,14892.72081
7709.99,13.97367845,107736.921112715
